page_name,page_id,post_last,post_period
배달의민족,168955389794447,2017-11-06,1.375
Goobne Chicken,233442686697476,2017-11-03,1.3333333333333333
G9,466846063386856,2017-11-06,1.2916666666666667
삼성물산 패션부문,1436823969867685,2017-11-07,0.9166666666666666
아디다스 러닝,434073739961092,2017-11-07,1.0833333333333333
세븐일레븐,205436166163139,2017-11-07,0.5
CJ CheilJedang,138958262830640,2017-11-07,1.6666666666666667
Under Armour,510404192340124,2017-11-02,1.8333333333333333
Volkswagen,105013206254077,2017-11-06,2.875
파리바게뜨,765350573491740,2017-11-07,2.5416666666666665
네이처리퍼블릭,315073051881482,2017-11-07,1.3333333333333333
건강한 습관 한국야쿠르트,1382628015332784,2017-11-07,1.6666666666666667
해태제과 (HAITAI),229743937072696,2017-11-06,1.0416666666666667
YSL Beauty,322529661165289,2017-11-06,2.7916666666666665
Jeep Korea,134129353325179,2017-11-06,1.875
스타일난다,385855618105718,2017-11-06,1.75
DADA Living - 다다 리빙,1167885739955744,2017-11-05,1.2916666666666667
1boon,495060454002836,2017-11-07,0.20833333333333334
현대자동차그룹 : Hyundai,322922251052591,2017-11-07,1.0833333333333333
엘포인트ㅣ엘페이,122268971173615,2017-11-06,1.0416666666666667
Hana Tour,149107741796095,2017-11-06,1.5833333333333333
KTM Nepal,1352239414802990,2017-11-07,0.0
빕스(VIPS),255152671190188,2017-11-07,1.5
북팔 스토리,203884526302216,2017-11-07,0.4583333333333333
CHANEL 샤넬,726432077387960,2017-11-04,2.1666666666666665
LOTTE Homeshopping,426539277427532,2017-11-07,1.0
빌리프(belif),173760885976143,2017-11-01,2.5416666666666665
The Body Shop,184977274871792,2017-11-06,1.75
CJ오쇼핑,150470011736895,2017-11-06,0.5416666666666666
GS SHOP 지에스샵,1620185231546327,2017-11-07,1.125
SSG닷컴,268179640055821,2017-11-07,0.625
T'way Air - 티웨이항공,223142724390252,2017-11-06,1.6666666666666667
빙그레(Binggrae),127529193982172,2017-11-06,2.3333333333333335
익스피디아,395329657167388,2017-10-31,2.875
빙그레 아이스크림,1108409735840839,2017-11-07,2.8333333333333335
NESCAFÉ,438510312860784,2017-11-07,1.7916666666666667
칠성사이다&Cool,403097263143488,2017-11-07,1.0416666666666667
Megastudy,143224305693965,2017-11-06,0.8333333333333334
커넥츠 스카이에듀,427132920661770,2017-11-03,1.5416666666666667
KEB 하나은행,122999364388188,2017-11-06,0.875
Pringles,1418645685056683,2017-09-25,12.125
WIZWID - 위즈위드,135591079812478,2017-11-07,0.4583333333333333
엔씨소프트,147863968567680,2017-11-06,1.125
맘스터치 - 버거&치킨,200645770049514,2017-11-07,2.0
현대캐피탈,127675860610797,2017-11-03,4.125
ASICS,617808334911833,2017-11-06,1.75
스타벅스 RTD,140521469349744,2017-11-06,1.9583333333333333
아웃백 스테이크 하우스(Outback Steakhouse),174921935934515,2017-11-01,4.958333333333333
신라면세점,218959248120516,2017-11-07,1.375
British Airways,76903425829,2017-11-06,1.3333333333333333
미스터피자(Mrpizzalove),364888770231645,2017-11-07,2.5
Beanpole,310316809030730,2017-10-31,3.5416666666666665
MyRealTrip,253870114666920,2017-11-06,1.5833333333333333
Canon Korea(캐논카메라),130561580364735,2017-11-07,0.5833333333333334
Gnomeo and Juliet,132240200147683,2014-05-27,1.125
해피포인트 (Happy Point),341911935867638,2017-11-07,0.4583333333333333
Airbnb,625947120749268,2017-11-06,2.5833333333333335
Gap,402986926444017,2017-11-07,1.1666666666666667
Gshow - O Entretenimento da Globo,267512583406274,2017-11-07,0.041666666666666664
FILA Korea,158992960799627,2017-11-07,0.5416666666666666
Skyscanner,303701879688824,2017-11-07,0.5
Post-it,801667753255980,2017-09-29,2.4583333333333335
이마트몰 emart.com,390000571030840,2017-11-07,0.5833333333333334
IKEA 이케아,677726098911413,2017-11-03,2.4166666666666665
리디북스,185679784810300,2017-06-23,2.3333333333333335
뉴발란스 퍼포먼스 - New Balance Performance Korea,341059219239149,2017-11-07,1.3333333333333333
VDL Cosmetics,381659405232577,2017-11-03,1.5833333333333333
렉서스(Lexus Korea),215422858530979,2017-11-06,2.1666666666666665
Buddy Up,443990932278851,2017-02-05,3.9166666666666665
알바천국,138160256260558,2017-11-07,0.5
SK이노베이션,1430392440548491,2017-11-07,0.875
